County,State,2013,2014,2015,2016,2017,2018
Litchfield County, CT,250500,255900,248300,243000,260700,256100
Livingston County, NY,129800,117000,117200,126800,135300,134900
Livingston County, MI,185700,198100,224300,227900,251700,256800
Livingston Parish, LA,150100,141800,159600,159500,163200,170100
Lonoke County, AR,133800,127300,142100,137000,143300,134100
Lorain County, OH,134000,136800,143800,146400,143600,156900
Los Angeles County, CA,420200,464400,497200,537900,588700,625200
Loudoun County, VA,438300,474600,477700,482700,508800,533500
Lowndes County, GA,125600,121500,139200,137800,133500,145500
Lubbock County, TX,106700,113300,124500,134900,137700,148600
Lucas County, OH,99700,107200,106100,115100,116300,117900
Luzerne County, PA,125100,120300,123100,123400,125700,133600
Lycoming County, PA,133600,144100,147500,152800,160800,161200
Lynchburg city, VA,147900,144600,156100,153600,160400,175500
Macomb County, MI,117000,134900,149000,157700,166500,176100
Macon County, IL,96100,95100,98200,99300,97000,102100
Madera County, CA,174700,201100,232800,235400,240800,273500
Madison County, AL,162300,171600,177700,178200,182400,192500
Madison County, NY,135300,119700,134500,142400,145800,133800
Madison County, MS,207200,205600,207300,214000,230500,221100
Madison County, TN,122500,112300,132500,134500,131200,133700
Madison County, KY,136300,149500,149000,153100,159700,161800
Madison County, IN,96300,89300,88400,92900,94200,107200
Madison County, IL,126300,128200,130300,137700,131600,136600
Mahoning County, OH,94600,98000,99600,100700,106200,114700
Manatee County, FL,160400,178700,194000,215700,233900,254100
Manitowoc County, WI,126200,124400,128800,129100,123100,129900
Marathon County, WI,141900,145600,151500,146700,148400,164800
Maricopa County, AZ,185000,206300,228300,239300,256500,276800
Marin County, CA,784200,862800,906500,974600,1014000,1071200
Marion County, OH,96400,95100,91800,88200,98200,110700
Marion County, OR,179600,182900,200400,224300,239100,270200
Marion County, FL,107100,101300,120500,127000,137300,150600
Marion County, IN,116300,117500,122400,128300,137400,142700
Marquette County, MI,132000,137400,153500,155400,154900,156500
Marshall County, AL,117100,106400,122800,121700,121600,136200
Martin County, FL,191100,201000,233100,257300,280800,297700
Mason County, WA,,,,,,230800
Matanuska-Susitna Borough, AK,220700,227000,236100,244500,254000,251800
Maui County, HI,471800,534100,569300,600800,641500,629500
Maury County, TN,142600,147000,148800,164100,188600,213300
Mayag?¬ez Municipio, PR,100700,104500,96800,104500,97200,94000
McCracken County, KY,104500,129100,142800,137000,148400,147900
McHenry County, IL,196400,210900,205300,216700,227900,233200
McKinley County, NM,59600,56100,55000,68500,72300,76500
McLean County, IL,160300,161600,168500,164300,167200,173700
McLennan County, TX,113300,117800,124500,124800,139800,160300
Mecklenburg County, NC,176600,189900,203700,221400,234100,253000
Medina County, OH,183200,174800,185300,185000,199200,208800
Mendocino County, CA,297600,318800,344500,333900,409900,381900
Merced County, CA,147200,173000,210100,231300,253700,261100
Mercer County, NJ,275200,272000,283600,284600,293800,289700
Mercer County, PA,105100,109900,117500,116200,123700,132100
Merrimack County, NH,217500,224400,220400,231100,231500,239100
Mesa County, CO,204800,198000,198800,212200,226400,229000
Miami County, OH,128200,135200,145400,149100,146700,160600
Miami-Dade County, FL,192500,216000,251900,265200,288100,317100
Middlesex County, NJ,312900,320900,332900,333200,340700,352300
Middlesex County, CT,286100,279900,282700,294500,281200,283800
Middlesex County, MA,404600,427800,450800,477500,511700,543600
Midland County, MI,125700,126200,138500,132400,140200,146200
