County,State,2013,2014,2015,2016,2017,2018
Mesa County, CO,147554,148255,148513,150083,151616,153207
Miami County, OH,103439,103900,104224,104679,105122,106222
Miami-Dade County, FL,2617176,2662874,2693117,2712945,2751796,2761581
Middlesex County, CT,165562,164943,164063,163329,163410,162682
Middlesex County, MA,1552802,1570315,1585139,1589774,1602947,1614714
Middlesex County, NJ,828919,836297,840900,837073,842798,829685
Midland County, MI,83919,83427,83632,83462,83411,83209
Midland County, TX,151468,155830,161077,162565,165049,172578
Milwaukee County, WI,956023,956406,957735,951448,952085,948201
Minnehaha County, SD,179640,182882,185197,187318,188616,192876
Missoula County, MT,111807,112684,114181,116130,117441,118791
Mobile County, AL,414079,415123,415395,414836,413955,413757
Mohave County, AZ,203030,203361,204737,205249,207200,209550
